Exchange,Nodes,NodeIDs,HasNDD,AssignedValue
1,2,15;109,Yes,0
2,3,15;16;109,Yes,0.6561
3,4,15;16;19;109,Yes,0.851683
4,4,15;16;22;109,Yes,0.833903
5,4,15;16;23;109,Yes,0.6561
6,4,15;16;34;109,Yes,0.833903
7,4,15;16;35;109,Yes,0.833903
8,4,15;16;43;109,Yes,0.833903
9,4,15;16;44;109,Yes,1.3122
10,4,15;16;47;109,Yes,0.833903
11,4,15;16;54;109,Yes,0.6561
12,4,15;16;59;109,Yes,0.833903
13,4,15;16;60;109,Yes,0.833903
14,4,15;16;64;109,Yes,0.833903
15,4,15;16;70;109,Yes,0.833903
16,4,15;16;75;109,Yes,0.833903
17,4,15;16;79;109,Yes,0.6561
18,4,15;16;81;109,Yes,0.833903
19,4,15;16;84;109,Yes,0.833903
20,4,15;16;85;109,Yes,0.833903
21,4,15;16;91;109,Yes,1.3122
22,4,15;16;92;109,Yes,0.833903
23,4,15;16;93;109,Yes,0.833903
24,4,15;16;95;109,Yes,0.833903
25,4,15;16;96;109,Yes,0.833903
26,4,15;16;99;109,Yes,0.833903
27,4,15;16;100;109,Yes,0.833903
28,4,15;16;101;109,Yes,0.6561
29,4,15;16;102;109,Yes,0.833903
30,4,15;16;103;109,Yes,0.833903
31,4,15;16;108;109,Yes,0.833903
32,3,15;19;109,Yes,0.72171
33,4,15;19;22;109,Yes,0.851683
34,4,15;19;23;109,Yes,0.72171
35,4,15;19;34;109,Yes,0.851683
36,4,15;19;35;109,Yes,0.851683
37,4,15;19;43;109,Yes,0.851683
38,4,15;19;44;109,Yes,0.851683
39,4,15;19;47;109,Yes,0.851683
40,4,15;19;54;109,Yes,0.72171
41,4,15;19;59;109,Yes,0.851683
42,4,15;19;60;109,Yes,0.851683
43,4,15;19;64;109,Yes,0.851683
44,4,15;19;70;109,Yes,0.851683
45,4,15;19;75;109,Yes,0.851683
46,4,15;19;79;109,Yes,0.72171
47,4,15;19;81;109,Yes,0.851683
48,4,15;19;84;109,Yes,0.851683
49,4,15;19;85;109,Yes,0.851683
50,4,15;19;91;109,Yes,1.37781
51,4,15;19;92;109,Yes,0.851683
52,4,15;19;93;109,Yes,0.851683
53,4,15;19;95;109,Yes,0.851683
54,4,15;19;96;109,Yes,0.851683
55,4,15;19;99;109,Yes,0.851683
56,4,15;19;100;109,Yes,0.851683
57,4,15;19;101;109,Yes,0.72171
58,4,15;19;102;109,Yes,0.851683
59,4,15;19;103;109,Yes,0.851683
60,4,15;19;108;109,Yes,0.851683
61,3,15;22;109,Yes,0.6561
62,4,15;22;23;109,Yes,0.6561
63,4,15;22;34;109,Yes,0.833903
64,4,15;22;35;109,Yes,0.833903
65,4,15;22;43;109,Yes,0.833903
66,4,15;22;44;109,Yes,0.833903
67,4,15;22;47;109,Yes,0.833903
68,4,15;22;54;109,Yes,0.6561
69,4,15;22;59;109,Yes,0.833903
70,4,15;22;60;109,Yes,0.833903
71,4,15;22;64;109,Yes,0.833903
72,4,15;22;70;109,Yes,0.833903
73,4,15;22;75;109,Yes,0.833903
74,4,15;22;79;109,Yes,0.6561
75,4,15;22;81;109,Yes,0.833903
76,4,15;22;84;109,Yes,0.833903
77,4,15;22;85;109,Yes,0.833903
78,4,15;22;91;109,Yes,1.3122
79,4,15;22;92;109,Yes,0.833903
80,4,15;22;93;109,Yes,0.833903
81,4,15;22;95;109,Yes,0.833903
82,4,15;22;96;109,Yes,0.833903
83,4,15;22;99;109,Yes,0.833903
84,4,15;22;100;109,Yes,0.833903
85,4,15;22;101;109,Yes,0.6561
86,4,15;22;102;109,Yes,0.833903
87,4,15;22;103;109,Yes,0.833903
88,4,15;22;108;109,Yes,0.833903
89,4,15;22;83;109,Yes,1.33634
90,3,15;23;109,Yes,0
91,4,15;23;34;109,Yes,0.6561
92,4,15;23;35;109,Yes,0.6561
93,4,15;23;43;109,Yes,0.6561
94,4,15;23;44;109,Yes,0.6561
95,4,15;23;47;109,Yes,0.6561
96,4,15;23;54;109,Yes,0
97,4,15;23;59;109,Yes,0.6561
98,4,15;23;60;109,Yes,0.6561
99,4,15;23;64;109,Yes,0.6561
100,4,15;23;70;109,Yes,0.6561
101,4,15;23;75;109,Yes,0.6561
102,4,15;23;79;109,Yes,0
103,4,15;23;81;109,Yes,0.6561
104,4,15;23;84;109,Yes,0.6561
105,4,15;23;85;109,Yes,0.6561
106,4,15;23;91;109,Yes,0.6561
107,4,15;23;92;109,Yes,0.6561
108,4,15;23;93;109,Yes,0.6561
109,4,15;23;95;109,Yes,0.6561
110,4,15;23;96;109,Yes,0.6561
111,4,15;23;99;109,Yes,0.6561
112,4,15;23;100;109,Yes,0.6561
113,4,15;23;101;109,Yes,0
114,4,15;23;102;109,Yes,0.6561
115,4,15;23;103;109,Yes,0.6561
116,4,15;23;108;109,Yes,0.6561
117,3,15;34;109,Yes,0.6561
