A1,A1,STOP
A2,A2,STOP
A3,A3,STOP
A9,A9,STOP
A10,A10,STOP
A11,A11,STOP
A19,A19,STOP
A23,A23,STOP
A24,A24,STOP
A25,A25,STOP
A26,A26,STOP
A28,A28,STOP
A29,A29,STOP
A30,A30,STOP
A31,A31,STOP
A32,A32,STOP
A33,A33,STOP
A34,A34,STOP
A36,A36,STOP
A43,A43,STOP
A66,A66,STOP
A68,A68,STOP
A69,A69,STOP
A74,A74,STOP
A80,A80,STOP
A203,A203,STOP
A210,A210,STOP
A2403,A2403,STOP
A6601,A6601,STOP
A6602,A6602,STOP
A1,A1,STOP
A2,"A2,A203,A210",STOP
A3,A3,STOP
A9,"A9,A23,A24,A2403",STOP
A10,"A10,A25,A26,A34,A66,A6601,A6602",STOP
A11,A11,STOP
A19,"A19,A29,A30,A31,A32,A33,A74",STOP
A23,"A23,A9",STOP
A24,"A24,A403,A9",STOP
A25,"A25,A10",STOP
A26,"A26,A10",STOP
A28,"A28,A68,A69",STOP
A29,A29,STOP
A30,A30,STOP
A31,A31,STOP
A32,A32,STOP
A33,A33,STOP
A34,A34,STOP
A36,A36,STOP
A43,A43,STOP
A66,"A66,A6601,A6602,A10",STOP
A68,"A68,A28",STOP
A69,"A69,A28",STOP
A74,A74,STOP
A80,A80,STOP
A203,A203,STOP
A210,A210,STOP
A2403,A2403,STOP
A6601,"A6601,A66",STOP
A6602,"A6602,A66",STOP
B5,B5,STOP
B7,B7,STOP
B8,B8,STOP
B12,B12,STOP
B13,B13,STOP
B14,B14,STOP
B15,B15,STOP
B16,B16,STOP
B17,B17,STOP
B18,B18,STOP
B21,B21,STOP
B22,B22,STOP
B27,B27,STOP
B35,B35,STOP
B37,B37,STOP
B38,B38,STOP
B39,B39,STOP
B40,B40,STOP
B41,B41,STOP
B42,B42,STOP
B44,B44,STOP
B45,B45,STOP
B46,B46,STOP
B47,B47,STOP
B48,B48,STOP
B49,B49,STOP
B50,B50,STOP
B51,B51,STOP
B52,B52,STOP
B53,B53,STOP
B54,B54,STOP
B55,B55,STOP
B56,B56,STOP
B57,B57,STOP
B58,B58,STOP
B59,B59,STOP
B60,B60,STOP
B61,B61,STOP
B62,B62,STOP
B63,B63,STOP
B64,B64,STOP
B65,B65,STOP
B67,B67,STOP
B70,B70,STOP
B71,B71,STOP
B72,B72,STOP
B73,B73,STOP
B75,B75,STOP
B76,B76,STOP
B77,B77,STOP
B78,B78,STOP
B81,B81,STOP
B82,B82,STOP
B703,B703,STOP
B804,B804,STOP
B1304,B1304,STOP
B2708,B2708,STOP
B3901,B3901,STOP
B3902,B3902,STOP
B3905,B3905,STOP
B4005,B4005,STOP
B5102,B5102,STOP
B5103,B5103,STOP
B8201,B8201,STOP
BW4,BW4,STOP
BW6,BW6,STOP
B5,"B5,B51,B5102,B5103,B52,B78",STOP
B7,"B7,B703,B2708",STOP
B8,B8,STOP
B12,"B12,B44,B45",STOP
B13,B13,STOP
B14,"B14,B64,B65",STOP
B15,"B15,B62,B63,B75,B76,B77",STOP
B16,"B16,B38,B39",STOP
B17,"B17,B57,B58",STOP
B18,B18,STOP
B21,"B21,B49,B50,B4005",STOP
B22,"B22,B54,B55,B56",STOP
B27,"B27,B708",STOP
B35,B35,STOP
B37,B37,STOP
B38,"B38,B16",STOP
B39,"B39,B3901,B3902,B3905,B16",STOP
B40,"B40,B60,B61",STOP
B41,B41,STOP
B42,B42,STOP
B44,"B44,B12",STOP
B45,"B45,B12",STOP
B46,B46,STOP
B47,B47,STOP
B48,B48,STOP
B49,"B49,B21",STOP
B50,"B50,B4005,B21",STOP
B51,"B51,B5102,B5103",STOP
B52,B52,STOP
B53,B53,STOP
B54,"B54,B22",STOP
B55,"B55,B22",STOP
B56,"B56,B22",STOP
B57,"B57,B17",STOP
B58,"B58,B17",STOP
B59,B59,STOP
B60,"B60,B40",STOP
B61,"B61,B40",STOP
B62,"B62,B15",STOP
B63,"B63,B15",STOP
B64,"B64,B14",STOP
B65,"B65,B14",STOP
B67,B67,STOP
B70,"B70,B71,B72",STOP
B71,"B71,B70",STOP
B72,"B72,B70",STOP
B73,B73,STOP
B75,B75,STOP
B76,B76,STOP
B77,B77,STOP
B78,B78,STOP
B81,B81,STOP
B82,"B82,B8201",STOP
B703,B703,STOP
B804,B804,STOP
B1304,B1304,STOP
B2708,B2708,STOP
B3901,B3901,STOP
B3902,B3902,STOP
B3905,B3905,STOP
B4005,B4005,STOP
B5102,B5102,STOP
B5103,B5103,STOP
B7801,B7801,STOP
B8201,B8201,STOP
BW4,"B5,B13,B17,B27,B37,B38,B44,B47,B49,B51,B52,B53,B57,B58,B59,B63,B77,BW4",STOP
BW6,"B7,B8,B14,B18,B22,B35,B39,B40,B41,B42,B45,B46,B48,B50,B4005,B54,B55,B56,B60,B61,B62,B64,B65,B67,B70,B71,B72,B73,B75,B76,B78,B81,BW6",STOP
CW1,CW1,STOP
CW2,CW2,STOP
CW3,CW3,STOP
CW4,CW4,STOP
CW5,CW5,STOP
CW6,CW6,STOP
CW7,CW7,STOP
CW8,CW8,STOP
CW9,CW9,STOP
CW10,CW10,STOP
CW12,CW12,STOP
CW13,CW13,STOP
CW14,CW14,STOP
CW15,CW15,STOP
CW16,CW16,STOP
CW17,CW17,STOP
CW18,CW18,STOP
CW1,CW1,STOP
CW2,CW2,STOP
CW3,"CW3,CW9,CW10",STOP
CW4,CW4,STOP
CW5,CW5,STOP
CW6,CW6,STOP
CW7,CW7,STOP
CW8,CW8,STOP
CW9,CW9,STOP
CW10,CW10,STOP
CW12,CW12,STOP
CW13,CW13,STOP
CW14,CW14,STOP
CW15,CW15,STOP
CW16,CW16,STOP
CW17,CW17,STOP
CW18,CW18,STOP
DQ1,DQ1,STOP
DQ2,DQ2,STOP
DQ3,DQ3,STOP
DQ4,DQ4,STOP
DQ5,DQ5,STOP
DQ6,DQ6,STOP
DQ7,DQ7,STOP
DQ8,DQ8,STOP
DQ9,DQ9,STOP
DQ1,"DQ1,DQ5,DQ6",STOP
DQ2,DQ2,STOP
DQ3,"DQ3,DQ7,DQ8,DQ9",STOP
DQ4,DQ4,STOP
DQ5,"DQ5,DQ1",STOP
DQ6,"DQ6,DQ1",STOP
DQ7,"DQ7,DQ3",STOP
DQ8,"DQ8,DQ3",STOP
DQ9,"DQ9,DQ3",STOP
DQB1,DQB1,STOP
DQB2,DQB2,STOP
DQB3,DQB3,STOP
DQB4,DQB4,STOP
DQB5,DQB5,STOP
DQB6,DQB6,STOP
DQB7,DQB7,STOP
DQB8,DQB8,STOP
