Exchange,Nodes,NodeIDs,HasNDD,AssignedValue
140,5,15;16;43;44;109,Yes,1.36038
141,5,15;16;43;47;109,Yes,0.882088
142,5,15;16;43;54;109,Yes,0.833903
143,5,15;16;43;59;109,Yes,0.882088
144,5,15;16;43;60;109,Yes,0.882088
145,5,15;16;43;64;109,Yes,0.882088
146,5,15;16;43;70;109,Yes,0.882088
147,5,15;16;43;75;109,Yes,0.882088
148,5,15;16;43;79;109,Yes,0.833903
149,5,15;16;43;81;109,Yes,0.882088
150,5,15;16;43;84;109,Yes,0.882088
151,5,15;16;43;85;109,Yes,0.882088
152,5,15;16;43;91;109,Yes,1.49
153,5,15;16;43;92;109,Yes,0.882088
154,5,15;16;43;93;109,Yes,0.882088
155,5,15;16;43;95;109,Yes,0.882088
156,5,15;16;43;96;109,Yes,0.882088
157,5,15;16;43;99;109,Yes,0.882088
158,5,15;16;43;100;109,Yes,0.882088
159,5,15;16;43;101;109,Yes,0.833903
160,5,15;16;43;102;109,Yes,0.882088
161,5,15;16;43;103;109,Yes,0.882088
162,5,15;16;43;108;109,Yes,0.882088
163,4,15;16;44;109,Yes,1.3122
164,5,15;16;44;47;109,Yes,1.49
165,5,15;16;44;54;109,Yes,1.3122
166,5,15;16;44;59;109,Yes,1.49
167,5,15;16;44;60;109,Yes,1.49
168,5,15;16;44;64;109,Yes,1.49
169,5,15;16;44;70;109,Yes,1.36038
170,5,15;16;44;75;109,Yes,1.36038
171,5,15;16;44;79;109,Yes,1.3122
172,5,15;16;44;81;109,Yes,1.49
173,5,15;16;44;84;109,Yes,1.49
174,5,15;16;44;85;109,Yes,1.49
175,5,15;16;44;91;109,Yes,1.97179
176,5,15;16;44;92;109,Yes,1.36038
177,5,15;16;44;93;109,Yes,1.49
178,5,15;16;44;95;109,Yes,1.49
179,5,15;16;44;96;109,Yes,1.49
180,5,15;16;44;99;109,Yes,1.49
181,5,15;16;44;100;109,Yes,1.49
182,5,15;16;44;101;109,Yes,1.3122
183,5,15;16;44;102;109,Yes,1.49
184,5,15;16;44;103;109,Yes,1.49
185,5,15;16;44;108;109,Yes,1.36038
186,5,15;16;21;44;109,Yes,1.3122
187,5,15;16;44;67;109,Yes,1.45478
188,5,15;16;44;83;109,Yes,1.7905
189,5,15;16;44;86;109,Yes,1.44182
190,5,15;16;44;97;109,Yes,1.44182
191,5,15;16;44;105;109,Yes,1.44182
192,4,15;16;47;109,Yes,0.833903
193,5,15;16;47;54;109,Yes,0.833903
194,5,15;16;47;59;109,Yes,0.882088
195,5,15;16;47;60;109,Yes,0.882088
196,5,15;16;47;64;109,Yes,0.882088
197,5,15;16;47;70;109,Yes,0.882088
198,5,15;16;47;75;109,Yes,0.882088
